file_id,label
93567-8-0-16,8
96920-9-0-8,9
156869-8-0-3,8
184805-0-0-101,0
34643-4-1-1,4
184449-2-0-13,2
125678-7-4-1,7
72259-1-7-13,1
128465-1-0-0,1
177537-7-1-3,7
177726-0-0-13,0
74364-8-1-21,8
155044-9-0-3,9
177742-0-0-99,0
78360-4-0-22,4
104625-4-0-45,4
100852-0-0-17,0
27070-2-0-8,2
65381-3-0-7,3
178686-0-0-2,0
167701-4-0-0,4
165775-7-1-0,7
102871-8-0-7,8
145206-6-1-0,6
148841-6-2-0,6
85574-3-0-0,3
63724-0-0-7,0
148841-6-0-0,6
74364-8-1-7,8
180937-7-3-14,7
162435-6-2-0,6
187110-2-0-30,2
159750-8-0-7,8
115415-9-0-5,9
164194-2-0-7,2
17973-2-0-8,2
82368-2-0-25,2
162433-6-6-0,6
127443-4-0-0,4
176787-5-0-20,5
159761-0-0-8,0
129750-2-0-48,2
203440-3-0-5,3
180127-4-0-2,4
110868-9-0-6,9
107842-4-2-1,4
167702-4-3-0,4
145577-1-0-0,1
73277-9-0-24,9
100852-0-0-12,0
185374-9-0-33,9
180156-1-1-0,1
162134-7-13-0,7
195969-0-0-14,0
39970-9-0-142,9
132021-7-0-6,7
29722-4-0-3,4
4918-3-4-0,3
208030-3-2-0,3
4910-3-0-0,3
54545-3-0-2,3
89724-5-0-5,5
107228-5-0-0,5
99812-1-6-0,1
105289-8-2-5,8
171305-7-13-0,7
94632-5-0-8,5
74364-8-1-23,8
201988-5-0-19,5
159752-8-0-1,8
26256-3-7-36,3
184805-0-0-34,0
184805-0-0-40,0
180937-7-4-10,7
16860-9-0-28,9
169098-7-1-0,7
54976-4-1-0,4
189982-0-0-38,0
180128-4-12-0,4
58005-4-0-76,4
123688-8-0-6,8
166101-5-2-1,5
172593-2-0-13,2
180960-6-0-0,6
40717-8-0-0,8
194458-9-0-34,9
57696-4-0-3,4
102547-3-0-2,3
55013-3-0-3,3
81068-5-0-3,5
135160-8-0-4,8
107357-8-1-8,8
151005-4-0-1,4
159702-6-2-0,6
174276-7-5-0,7
31150-2-0-34,2
109233-3-0-5,3
196070-2-0-2,2
98859-7-1-0,7
202516-0-0-2,0
156362-4-0-3,4
24347-8-0-11,8
144007-5-1-11,5
159439-2-0-30,2
180127-4-0-5,4
106905-5-0-2,5
31840-3-0-0,3
29721-4-0-8,4
103249-5-0-1,5
195969-0-0-8,0
161005-2-0-27,2
50455-5-0-0,5
177726-0-0-1,0
157866-8-0-21,8
117181-8-0-11,8
185374-9-0-16,9
24347-8-0-24,8
189023-0-0-0,0
34050-7-6-0,7
49808-3-1-8,3
62837-7-1-5,7
169466-4-3-8,4
190893-2-0-23,2
155243-9-0-18,9
180937-7-1-7,7
186336-9-0-4,9
30206-7-0-38,7
165067-2-0-91,2
105029-7-2-2,7
132108-9-1-24,9
159439-2-0-10,2
102853-8-1-0,8
157867-8-0-12,8
105029-7-2-6,7
102842-3-1-0,3
94182-9-0-16,9
138015-3-0-7,3
159748-8-2-5,8
57323-8-0-9,8
22601-8-0-36,8
204526-2-0-193,2
157868-8-0-21,8
46299-2-0-8,2
164782-8-0-2,8
52441-3-0-13,3
137971-2-0-0,2
55728-9-0-8,9
203956-1-0-0,1
108362-2-0-29,2
22601-8-0-28,8
174906-2-0-6,2
73623-7-5-0,7
54898-8-0-5,8
80589-0-0-4,0
31973-9-0-57,9
159748-8-0-3,8
207214-2-0-63,2
134717-0-0-9,0
107357-8-1-9,8
50629-4-1-4,4
39856-5-0-8,5
24347-8-0-95,8
165454-0-0-11,0
204240-0-0-29,0
135527-6-0-0,6
178261-7-3-6,7
40722-8-0-5,8
128607-4-1-0,4
188813-7-10-2,7
176787-5-0-22,5
182103-9-0-26,9
185801-4-0-1,4
146709-0-0-1,0
135527-6-5-0,6
24347-8-0-23,8
180937-7-3-28,7
188824-7-1-0,7
106015-5-0-19,5
68657-1-0-0,1
145683-6-1-0,6
59277-0-0-4,0
118278-4-0-0,4
100852-0-0-8,0
146249-4-0-0,4
49313-2-0-13,2
180937-7-2-4,7
94636-8-0-19,8
207213-2-0-85,2
106015-5-0-15,5
157867-8-0-26,8
175847-1-0-0,1
72259-1-5-2,1
160016-2-0-8,2
192124-2-0-12,2
103258-5-0-18,5
101729-0-0-13,0
146690-0-0-38,0
144068-5-0-7,5
71171-4-5-0,4
117271-3-0-1,3
113785-3-1-0,3
206037-2-0-38,2
169466-4-2-8,4
27349-3-2-1,3
42324-4-2-0,4
30206-7-0-19,7
189982-0-0-17,0
72015-2-0-5,2
105289-8-0-4,8
103074-7-4-2,7
24074-1-0-11,1
159747-8-0-0,8
103249-5-0-19,5
203440-3-0-1,3
162134-7-12-1,7
113202-5-0-12,5
123688-8-0-8,8
65745-3-0-49,3
177726-0-0-37,0
7066-6-1-0,6
156634-5-0-12,5
185909-2-0-17,2
76085-4-0-103,4
146714-0-0-43,0
69304-9-0-0,9
115411-3-3-0,3
135544-6-3-0,6
60591-2-0-2,2
83195-9-0-14,9
156634-5-2-6,5
